Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR31835664,2024-12-26 16:12:09,2024-12-26 16:08:14,11329697,2288598794,11329697,202,1316,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835664/SRR31835664.lite.1,SRX27195681,EA103N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532908,SAMN05330350,simple,7227,Drosophila melanogaster,EA103N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,76B897F96437BA2CAC183DFC33245509,13933CE42BAC1E36E8A7CFE1FEE4EA41
SRR31835663,2024-12-26 16:12:09,2024-12-26 16:08:15,10758510,2173219020,10758510,202,1330,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835663/SRR31835663.lite.1,SRX27195682,EA117N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532909,SAMN05330351,simple,7227,Drosophila melanogaster,EA117N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,1323CF2FBC128B4E55D697C6D2646EF9,5798D32FA86BC55992BBE8AB108AEF94
SRR31835456,2024-12-26 16:12:06,2024-12-26 16:08:33,14830378,2995736356,14830378,202,2011,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835456/SRR31835456.lite.1,SRX27195889,EA124N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533022,SAMN05330352,simple,7227,Drosophila melanogaster,EA124N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,7BFD42418338F7F86FEF21FEC5FA056D,F28850D8C95631D47DC56531D1A581CF
SRR31835377,2024-12-26 16:12:03,2024-12-26 16:08:21,13257026,2677919252,13257026,202,1536,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835377/SRR31835377.lite.1,SRX27195968,EA126N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533132,SAMN05330353,simple,7227,Drosophila melanogaster,EA126N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,18778C67DB6A2F5EF44C1158B75649E2,C04E119B5C0B5D7BACC90B85567E929D
SRR31835577,2024-12-26 16:12:06,2024-12-26 16:08:22,15624719,3156193238,15624719,202,1993,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835577/SRR31835577.lite.1,SRX27195768,EA13N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533157,SAMN05330354,simple,7227,Drosophila melanogaster,EA13N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,949AF868E8FD520A5D6D5F65340B3663,74AFFCC6B5F068A3B4F6BFB1D41F4494
SRR31835502,2024-12-26 16:12:11,2024-12-26 16:09:18,16123012,3256848424,16123012,202,2211,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835502/SRR31835502.lite.1,SRX27195843,EA22N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533168,SAMN05330355,simple,7227,Drosophila melanogaster,EA22N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,8E2917B32AD1CB1319C6B81233CD4445,BDC4E8F189853FD31C393D1C38273F23
SRR31835491,2024-12-26 16:19:38,2024-12-26 16:12:47,28022344,5660513488,28022344,202,3588,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835491/SRR31835491.lite.1,SRX27195854,EA2N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533179,SAMN05330356,simple,7227,Drosophila melanogaster,EA2N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,1F4BBCCCAEC561A2B47FCAD987334DEB,72C0C730E18A983CD91227E0864FC261
SRR31835480,2024-12-26 16:12:04,2024-12-26 16:07:35,12493388,2523664376,12493388,202,1541,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835480/SRR31835480.lite.1,SRX27195865,EA30N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533190,SAMN05330357,simple,7227,Drosophila melanogaster,EA30N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,98C263E1CF53585C87F4006771895113,B1E8AB0398D53EFDDF1E2C6C31C5254C
SRR31835373,2024-12-26 16:12:04,2024-12-26 16:08:13,16430826,3319026852,16430826,202,2178,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835373/SRR31835373.lite.1,SRX27195972,EA31N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533201,SAMN05330358,simple,7227,Drosophila melanogaster,EA31N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,8BF9D72DA7E9831F209EDE2601ECD6A8,9C9D9E41C78E60E5470142F363BE8124
SRR31835362,2024-12-26 16:17:43,2024-12-26 16:09:31,13611833,2749590266,13611833,202,1844,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835362/SRR31835362.lite.1,SRX27195983,EA37N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1533212,SAMN05330359,simple,7227,Drosophila melanogaster,EA37N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,0D45ED31096EE462E603FF549C247FEC,21943A8EF1E582DEA8FAB1FD40F79BBF
SRR31835662,2024-12-26 16:12:09,2024-12-26 16:08:37,11738701,2371217602,11738701,202,1438,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835662/SRR31835662.lite.1,SRX27195683,EA50N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532910,SAMN05330360,simple,7227,Drosophila melanogaster,EA50N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,4BE11A171657660055117089A637A1C7,4F87D8B3FAE43691DE946B0BD1B16348
SRR31835651,2024-12-26 16:12:11,2024-12-26 16:08:38,15174597,3065268594,15174597,202,2085,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835651/SRR31835651.lite.1,SRX27195694,EA58N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532921,SAMN05330361,simple,7227,Drosophila melanogaster,EA58N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,7C4686F8318B25114924FF02F5FDDCA9,414FE72DBD956E2152AFE5399A3F45F9
SRR31835640,2024-12-26 16:12:08,2024-12-26 16:08:49,11620791,2347399782,11620791,202,1477,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31835/SRR31835640/SRR31835640.lite.1,SRX27195705,EA59N,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077652,PRJNA327349,,327349,SRS1532932,SAMN05330362,simple,7227,Drosophila melanogaster,EA59N,,,,,female,,no,,,,,UNIVERSITY OF WISCONSIN AT MADISON,SRA2041637,,public,6A26012132DFA320BEB682EB39592410,9A9E0F9429FEDB822D89C6FA8E255D77
